Scenariu,Timp_1,Timp_2,Timp_3,Timp_4,Timp_5,Timp_6,Timp_7,Timp_8,Timp_9,Timp_10,Timp_11,Timp_12,Timp_13,Timp_14,Timp_15,Timp_16,Timp_17,Timp_18,Timp_19,Timp_20,Timp_21,Timp_22,Timp_23,Timp_24,Timp_25,Timp_26,Timp_27,Timp_28,Timp_29,Timp_30,Timp_31,Timp_32,Timp_33,Timp_34,Timp_35,Media,Deviatia_Standard
Scenariul 1,2.288818359375e-05,1.81198120117188e-05,1.50203704833984e-05,1.38282775878906e-05,1.97887420654297e-05,1.69277191162109e-05,1.40666961669922e-05,1.21593475341797e-05,1.21593475341797e-05,1.19209289550781e-05,1.09672546386719e-05,9.05990600585938e-06,1.00135803222656e-05,1.31130218505859e-05,1.19209289550781e-05,1.40666961669922e-05,1.9073486328125e-05,1.59740447998047e-05,1.28746032714844e-05,1.31130218505859e-05,1.19209289550781e-05,1.38282775878906e-05,1.31130218505859e-05,9.05990600585938e-06,9.05990600585938e-06,1.31130218505859e-05,1.31130218505859e-05,1.50203704833984e-05,1.40666961669922e-05,1.31130218505859e-05,1.50203704833984e-05,1.31130218505859e-05,1.00135803222656e-05,9.77516174316406e-06,1.00135803222656e-05,1.3439995901925209e-05,3.1359524977896355e-06
Scenariul 2,2.31266021728516e-05,1.81198120117188e-05,2.09808349609375e-05,2.288818359375e-05,2.288818359375e-05,1.78813934326172e-05,4.50611114501953e-05,1.69277191162109e-05,2.69412994384766e-05,2.09808349609375e-05,1.28746032714844e-05,1.38282775878906e-05,1.21593475341797e-05,1.97887420654297e-05,1.71661376953125e-05,1.59740447998047e-05,1.69277191162109e-05,4.10079956054688e-05,1.50203704833984e-05,1.50203704833984e-05,1.09672546386719e-05,1.09672546386719e-05,1.09672546386719e-05,2.78949737548828e-05,2.09808349609375e-05,1.97887420654297e-05,2.00271606445312e-05,2.00271606445312e-05,1.40666961669922e-05,1.00135803222656e-05,1.38282775878906e-05,1.38282775878906e-05,1.50203704833984e-05,1.40666961669922e-05,1.50203704833984e-05,1.865795680454799e-05,7.5499483850685106e-06
Scenariul 3,2.31266021728516e-05,1.40666961669922e-05,1.59740447998047e-05,1.31130218505859e-05,1.19209289550781e-05,9.05990600585938e-06,9.77516174316406e-06,1.31130218505859e-05,1.71661376953125e-05,1.09672546386719e-05,1.31130218505859e-05,1.9073486328125e-05,1.40666961669922e-05,1.28746032714844e-05,1.31130218505859e-05,1.28746032714844e-05,1.21593475341797e-05,3.40938568115234e-05,1.40666961669922e-05,1.38282775878906e-05,1.59740447998047e-05,1.31130218505859e-05,1.00135803222656e-05,1.00135803222656e-05,9.05990600585938e-06,1.59740447998047e-05,1.50203704833984e-05,1.50203704833984e-05,2.40802764892578e-05,1.78813934326172e-05,1.40666961669922e-05,1.50203704833984e-05,1.38282775878906e-05,9.05990600585938e-06,1.00135803222656e-05,1.4448165893554681e-05,4.879347298278646e-06
Scenariul 4,1.69277191162109e-05,1.21593475341797e-05,2.09808349609375e-05,2.00271606445312e-05,2.31266021728516e-05,2.19345092773438e-05,2.19345092773438e-05,1.78813934326172e-05,1.50203704833984e-05,1.69277191162109e-05,1.19209289550781e-05,1.59740447998047e-05,1.81198120117188e-05,2.69412994384766e-05,3.09944152832031e-05,2.69412994384766e-05,2.21729278564453e-05,4.50611114501953e-05,1.19209289550781e-05,1.19209289550781e-05,1.09672546386719e-05,1.69277191162109e-05,1.40666961669922e-05,1.38282775878906e-05,1.38282775878906e-05,1.28746032714844e-05,1.69277191162109e-05,1.88350677490234e-05,1.12056732177734e-05,1.00135803222656e-05,1.00135803222656e-05,1.09672546386719e-05,1.40666961669922e-05,1.09672546386719e-05,1.00135803222656e-05,1.726831708635603e-05,7.217543428461396e-06
Scenariul 5,2.40802764892578e-05,2.288818359375e-05,1.88350677490234e-05,1.88350677490234e-05,2.00271606445312e-05,2.00271606445312e-05,1.88350677490234e-05,1.78813934326172e-05,1.69277191162109e-05,1.69277191162109e-05,2.19345092773438e-05,2.31266021728516e-05,1.40666961669922e-05,1.38282775878906e-05,1.19209289550781e-05,1.09672546386719e-05,1.59740447998047e-05,3.88622283935547e-05,1.38282775878906e-05,1.50203704833984e-05,1.59740447998047e-05,1.50203704833984e-05,1.50203704833984e-05,1.50203704833984e-05,1.50203704833984e-05,1.40666961669922e-05,1.50203704833984e-05,1.09672546386719e-05,1.09672546386719e-05,1.09672546386719e-05,1.50203704833984e-05,1.50203704833984e-05,1.31130218505859e-05,1.31130218505859e-05,1.40666961669922e-05,1.6662052699497754e-05,5.23237051693782e-06
Scenariul 6,2.69412994384766e-05,2.00271606445312e-05,1.81198120117188e-05,1.97887420654297e-05,1.9073486328125e-05,2.09808349609375e-05,2.09808349609375e-05,2.00271606445312e-05,1.9073486328125e-05,1.88350677490234e-05,2.00271606445312e-05,1.9073486328125e-05,1.50203704833984e-05,1.59740447998047e-05,1.21593475341797e-05,1.28746032714844e-05,2.00271606445312e-05,5.29289245605469e-05,1.59740447998047e-05,1.69277191162109e-05,1.69277191162109e-05,1.59740447998047e-05,1.59740447998047e-05,1.62124633789062e-05,1.9073486328125e-05,1.59740447998047e-05,1.69277191162109e-05,1.19209289550781e-05,1.21593475341797e-05,1.19209289550781e-05,1.59740447998047e-05,1.88350677490234e-05,1.50203704833984e-05,1.38282775878906e-05,1.50203704833984e-05,1.8187931605747763e-05,6.829612561756974e-06
